book_id,original_title,authors,isbn,original_publication_year,average_rating
1,The Hunger Games,Suzanne Collins,439023483,2008,4.34
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",439554934,1997,4.44
3,Twilight,Stephenie Meyer,316015849,2005,3.57
4,To Kill a Mockingbird,Harper Lee,61120081,1960,4.25
5,The Great Gatsby,F. Scott Fitzgerald,743273567,1925,3.89
6,The Fault in Our Stars,John Green,525478817,2012,4.26
7,The Hobbit or There and Back Again,J.R.R. Tolkien,618260307,1937,4.25
8,The Catcher in the Rye,J.D. Salinger,316769177,1951,3.79
9,Angels & Demons ,Dan Brown,1416524797,2000,3.85
10,Pride and Prejudice,Jane Austen,679783261,1813,4.24